,Ctrl_1,Ctrl_2,Ctrl_3,Ctrl_4,DOG_1,DOG_2,DOG_3,DOG_4,Dual_1,Dual_2,Dual_3,Dual_4,Olig_1,Olig_2,Olig_3,Olig_4
miR-377-5p,25,34,43,61,20,15,24,24,22,31,24,35,20,15,13,66
miR-378a-3p,28,42,26,81,16,30,51,31,23,17,33,38,33,13,41,124
miR-378b,7,7,7,59,8,7,18,19,11,7,15,22,6,3,14,84
miR-378c,5,9,9,58,11,2,14,16,12,8,7,28,10,4,10,80
miR-378d,12,23,12,62,11,6,66,32,14,16,24,23,16,8,40,121
miR-378e,11,20,21,124,18,8,108,55,22,25,56,38,27,8,72,161
miR-378f,32,32,15,125,65,29,1108,382,39,53,753,50,88,10,744,677
miR-378g,22,36,23,146,23,19,12,35,36,21,18,37,29,10,6,100
miR-378h,12,1,7,42,8,6,26,31,13,5,13,33,11,3,9,125
miR-378i,35,38,32,392,47,27,245,437,28,46,147,100,53,10,177,1105
miR-378j,9,2,8,34,5,4,21,16,8,2,7,25,8,0,14,49
miR-379-3p,25,4,12,25,8,9,6,6,35,16,10,28,11,10,3,53
miR-379-5p,111,44,35,50,48,28,28,19,85,114,25,32,43,59,11,57
miR-380-3p,18,3,11,24,11,6,13,8,19,12,2,24,11,3,2,32
miR-380-5p,6,6,7,33,3,9,17,8,11,6,5,26,7,3,5,64
miR-381-3p,266,250,253,161,180,145,200,89,365,304,283,74,248,220,162,235
miR-381-5p,20,17,12,72,14,12,17,27,32,18,37,44,18,12,9,62
miR-382-3p,80,127,60,77,54,80,42,47,125,119,67,59,74,81,13,77
miR-382-5p,237,224,696,385,121,124,231,321,299,226,304,222,151,197,228,194
miR-383-3p,14,5,14,150,23,6,134,77,19,16,61,51,23,7,83,172
miR-383-5p,5,5,13,26,4,5,3,7,9,2,7,19,3,3,5,77
miR-384,1,1,0,18,0,1,8,9,7,0,1,34,3,0,3,59
miR-3907,286,151,137,504,377,156,1431,895,196,312,1430,326,282,81,1006,1313
miR-3908,0,7,2,27,2,1,9,7,9,0,1,19,7,0,2,55
miR-3909,1,7,5,78,4,5,24,10,3,7,9,27,8,3,11,88
miR-3910,4,4,2,39,4,5,38,6,13,2,13,22,7,0,26,61
miR-3912-3p,101,59,25,327,116,40,31,82,65,125,25,122,68,31,20,152
miR-3912-5p,95,45,18,267,83,59,15,80,69,79,18,123,81,30,18,145
miR-3913-5p,5,0,4,12,3,3,5,7,6,0,3,15,7,0,1,41
miR-3914,3,1,2,33,1,2,11,18,7,4,4,21,3,0,5,74
miR-3915,1,0,0,19,2,6,5,9,6,0,2,31,4,0,2,46
miR-3916,18,19,15,26,15,23,9,22,23,11,9,26,20,10,4,59
miR-3917,159,77,68,296,1738,78,11293,6703,109,402,10828,188,1907,63,8444,8812
miR-3919,4,5,13,46,16,7,32,31,11,9,16,45,9,2,8,86
miR-3920,3,2,0,16,2,0,3,8,5,4,0,15,1,1,0,41
miR-3921,2,1,4,40,4,0,6,10,5,3,1,26,1,0,0,58
miR-3922-3p,1,2,1,36,3,3,8,11,6,2,2,21,2,2,0,44
miR-3922-5p,24,9,20,191,127,5,1324,617,17,49,964,51,131,3,859,1035
miR-3923,1,0,1,17,0,1,6,5,2,2,0,22,3,0,0,68
miR-3924,5,1,2,18,0,1,1,9,11,4,1,14,2,0,1,44
miR-3925-5p,4,5,5,27,1,2,18,17,12,2,4,30,11,0,8,88
miR-3926,14,14,20,155,22,8,224,75,15,11,138,63,28,2,190,211
miR-3927-5p,4,0,3,30,2,0,6,5,9,2,0,24,4,0,0,64
miR-3928-3p,20,15,17,216,15,14,33,75,15,18,22,27,17,3,30,211
miR-3928-5p,4,5,7,195,3,2,15,32,12,7,11,35,10,2,8,166
miR-3929,7,9,13,55,10,3,14,24,9,11,4,33,4,2,3,99
miR-3934-3p,13,3,6,119,21,6,134,58,23,18,74,29,19,2,116,211
miR-3934-5p,81,63,88,137,84,36,144,112,54,58,96,45,87,18,2374,351
miR-3935,3,3,3,104,9,2,26,24,4,8,14,24,8,2,18,107
miR-3936,4,0,3,58,6,3,9,13,6,3,9,26,8,0,12,81
miR-3937,24,26,30,129,18,12,35,134,18,22,12,87,29,22,37,182
miR-3938,2,2,3,57,15,5,61,22,15,5,32,30,9,0,23,111
miR-3939,10,4,4,190,27,5,48,76,16,24,24,41,20,4,27,201
miR-3940-5p,1511,990,359,1662,847,1111,254,963,815,1149,358,1236,691,685,870,1768
miR-3941,2,4,2,28,3,2,5,7,15,6,0,19,5,0,3,42
miR-3942-5p,2,1,0,12,2,0,5,7,11,0,0,22,3,1,0,44
miR-3943,1142,405,171,735,5528,351,7645,7942,852,2116,8667,592,4235,104,5098,9110
miR-3944-5p,20,13,36,174,10,9,228,141,9,13,127,65,27,10,173,363
miR-3945,4,0,7,36,8,2,22,25,16,5,25,24,17,1,49,91
miR-3973,9,6,4,54,7,4,6,10,7,1,4,35,7,2,0,75
miR-3974,3,3,3,19,4,3,5,6,4,2,0,38,7,1,1,47
miR-3975,2,5,5,43,6,5,3,16,14,2,0,24,6,1,2,56
miR-3976,3,4,1,33,3,3,4,8,7,1,1,57,8,0,1,44
miR-3977,6,2,2,28,1,2,3,5,4,3,0,14,9,2,1,44
miR-3978,7,7,8,68,10,5,13,31,8,2,11,50,4,3,13,145
miR-409-3p,388,314,379,359,167,145,183,431,362,349,250,198,291,324,192,222
miR-409-5p,144,228,54,143,72,104,36,70,155,230,82,41,150,171,26,99
miR-410-3p,218,78,104,131,515,43,1012,967,243,314,869,83,459,78,695,1085
miR-410-5p,6,16,11,23,5,9,8,10,17,9,3,28,5,6,2,53
miR-411-3p,47,23,34,50,14,17,68,58,42,42,62,45,41,23,36,108
miR-411-5p,101,53,40,116,129,27,380,208,172,138,269,45,104,65,234,360
miR-412-3p,4,5,3,115,5,2,17,28,7,5,3,41,5,0,4,104
miR-412-5p,16,2,5,44,8,4,18,17,25,7,13,30,13,8,9,74
miR-421,36,14,16,77,17,16,8,41,39,23,4,38,25,25,3,65
miR-422a,16,24,19,54,10,18,22,24,17,15,15,40,18,3,9,92
miR-424-3p,127,129,119,113,74,80,257,120,122,106,170,97,144,134,156,244
miR-424-5p,1326,1173,312,388,900,759,285,164,1144,1313,415,111,1350,665,127,113
miR-4251,17,14,7,76,37,9,670,189,29,18,351,54,41,4,392,332
miR-4252,31,16,20,261,35,19,63,106,23,28,47,46,34,6,21,228
miR-4253,19,61,235,247,31,26,136,142,27,36,74,254,106,28,137,366
miR-425-3p,23,31,29,168,90,16,1254,549,22,40,932,46,96,18,830,989
miR-4254,12,7,8,102,24,5,54,45,16,23,41,36,30,2,33,141
miR-4255,6,3,1,30,7,4,69,28,5,7,18,19,6,1,42,73
miR-425-5p,266,487,155,196,182,181,137,197,357,291,215,67,280,171,104,199
miR-4256,6,2,7,83,15,7,199,51,8,6,77,25,13,3,116,152
miR-4257,33,37,56,263,32,21,570,287,23,41,577,93,42,62,61604,13471
miR-4259,5,4,6,67,5,3,17,22,9,3,4,35,1,1,13,106
miR-4261,9,20,54,121,6,9,169,55,13,16,104,31,11,14,104,141
miR-4262,1,0,3,64,9,2,39,28,9,4,25,20,6,0,23,83
miR-4263,9,6,2,53,10,2,97,31,11,5,58,22,7,2,68,136
miR-4264,9,3,2,37,8,4,7,14,11,6,3,34,4,5,9,62
miR-4265,13,12,16,114,28,11,75,65,13,21,52,48,29,14,36,150
miR-4266,199,46,30,257,3262,39,13998,9719,181,927,11583,124,3184,4,9116,10969
miR-4267,49,25,10,136,252,12,2548,1041,37,100,1689,82,257,6,1963,1757
miR-4268,21,9,17,129,52,6,147,104,14,43,96,57,31,3,94,240
miR-4269,363,262,215,645,573,161,2669,1433,269,505,2576,312,660,84,2144,2358
miR-4270,171,146,574,603,142,147,344,369,114,141,467,362,194,206,4640,1923
miR-4271,3,3,2,5,4,1,1,4,1,1,3,9,1,2,10,5
miR-4272,6,5,4,41,12,3,44,30,17,7,14,38,13,0,19,84
miR-4273,4,4,4,64,6,2,105,34,9,4,39,23,4,1,59,106
miR-4274,98,49,45,549,103,57,581,312,62,129,479,154,107,27,551,709
miR-4275,1,1,1,28,9,3,12,4,9,4,2,8,3,0,2,31
miR-4276,12,9,3,70,4,4,32,21,22,9,16,44,9,6,13,63
miR-4277,28,8,13,117,64,15,47,87,31,30,47,49,34,6,34,146
miR-4278,23,7,4,68,38,4,75,78,17,25,68,33,39,2,56,169
miR-4279,401,205,129,374,310,193,652,503,265,338,504,464,276,181,422,552
miR-4280,7,7,4,24,4,10,10,17,9,2,4,39,8,1,7,59
miR-4282,2,2,3,32,2,1,27,19,8,2,10,20,1,2,19,53
miR-4283,3,2,6,43,4,2,41,26,6,4,15,25,3,1,15,66
miR-4287,6,1,7,57,13,1,108,49,7,4,57,33,11,0,71,123
miR-4288,2,1,1,17,3,1,12,9,5,3,1,17,2,0,8,29
miR-4289,4,0,4,29,1,0,11,11,0,1,6,19,3,0,5,80
miR-429,1,0,6,40,2,0,35,10,5,0,23,37,0,1,21,102
miR-4290,21,10,6,101,21,12,8,15,28,19,3,36,13,9,3,64
miR-4291,1117,465,249,526,2270,432,5180,3784,760,1552,3836,794,1906,193,2929,3748
miR-4292,80,60,2557,1718,127,41,735,637,55,107,472,477,118,21,939,1165
miR-4293,32,7,9,81,83,7,883,309,20,41,510,53,75,5,556,458
miR-4294,28,17,45,83,33,5,65,117,18,27,56,39,27,8,34,110
miR-4295,2,2,1,25,3,2,6,5,8,4,1,16,3,1,2,53
miR-4296,53,29,32,345,520,26,3575,1468,29,121,2420,81,492,17,1866,2417
miR-4297,8,8,5,75,7,8,26,17,13,8,19,43,10,5,13,82
miR-4299,7,13,22,200,5,6,42,74,10,10,14,33,13,2,18,231
miR-4300,4,4,4,20,4,1,8,7,5,2,5,16,6,0,4,28
miR-4301,5,2,2,43,4,1,8,3,3,2,5,38,2,0,6,62
miR-4302,11,4,7,112,100,6,2200,761,23,20,1412,45,87,1,1559,1262
miR-4303,20,4,7,138,286,5,4046,1607,13,45,2627,40,295,1,2457,2281
miR-4304,12,6,28,127,26,5,248,121,17,24,138,33,19,7,150,222
miR-4305,8,9,8,94,14,3,47,33,14,4,30,37,11,8,27,102
miR-4306,91,117,55,97,44,66,297,120,86,76,180,45,69,36,222,133
miR-4307,1,2,5,20,3,1,3,13,8,2,2,19,4,0,1,58
miR-4308,8,4,2,54,7,3,10,16,6,4,6,24,4,2,1,37
miR-4309,789,377,250,597,1511,347,3406,1957,546,865,2949,757,1200,302,1721,2594
miR-4310,5,5,5,30,6,0,13,15,7,3,5,23,5,5,4,43
miR-4311,3,5,6,60,5,0,38,11,7,5,12,31,5,1,26,113
miR-4312,7,9,10,113,4,4,27,28,10,14,15,42,4,5,10,63
miR-431-3p,43,44,101,164,35,41,53,81,34,38,138,95,38,34,69,142
miR-4314,12,7,10,82,6,5,69,26,5,5,22,15,7,2,47,89
miR-4315,108,43,30,140,198,39,1449,527,111,131,1018,135,175,8,770,901
miR-431-5p,143,146,192,260,93,91,144,121,173,194,246,74,126,101,129,214
miR-4317,5,4,2,32,2,1,23,25,6,2,5,28,4,1,9,58
miR-4318,6,6,10,81,8,5,373,79,13,7,139,40,8,2,185,228
miR-4319,85,36,27,138,125,44,1426,526,45,109,927,122,116,25,946,800
miR-4320,7,3,1,31,7,5,18,25,5,6,7,26,16,1,12,46
miR-4322,33,10,38,226,33,18,153,122,26,23,77,100,60,14,92,342
miR-432-3p,38,18,12,133,53,15,162,119,45,38,116,61,46,14,94,266
miR-4324,596,560,189,204,590,179,305,701,519,914,693,74,1236,143,237,178
miR-4325,4,3,4,42,11,2,24,19,9,5,11,17,6,0,14,55
miR-432-5p,165,158,250,206,76,92,89,321,177,145,89,221,119,206,75,117
miR-4326,14,18,20,98,21,11,134,66,20,21,83,45,23,4,84,192
miR-4327,33,23,36,89,18,13,21,50,20,12,23,49,21,15,39,138
miR-4328,6,3,8,47,9,5,44,35,6,1,15,22,6,3,22,76
miR-4329,10,7,8,101,8,11,34,39,15,15,13,49,9,7,6,91
miR-4330,21,11,8,94,34,8,80,46,21,37,51,48,42,9,54,149
miR-433-3p,45,42,22,107,27,26,14,80,46,38,15,65,35,42,9,100
miR-433-5p,0,0,2,43,7,0,4,9,9,1,4,19,6,4,3,72
miR-4417,358,2215,16842,9811,780,547,6299,8163,353,993,4193,5807,926,534,2846,5078
miR-4419a,19,37,72,214,34,38,191,142,28,28,101,82,39,22,318,192
miR-4419b,29,37,51,154,10,32,84,85,20,25,54,39,26,10,156,205
miR-4420,1,7,3,37,4,1,9,9,4,0,3,25,5,3,5,80
miR-4421,14,27,30,58,26,15,16,34,37,26,11,41,19,11,8,86
miR-4422,3,2,12,72,6,0,29,11,9,4,4,32,8,1,5,59
miR-4423-3p,1,5,6,39,4,3,11,9,8,6,3,33,5,0,7,54
miR-4423-5p,3,3,8,65,3,9,10,8,10,5,7,37,8,9,3,55
miR-4424,0,3,2,26,1,4,8,7,9,0,2,35,5,0,2,48
miR-4425,6,5,3,52,6,5,13,13,11,3,5,34,7,3,1,85
miR-4426,4,2,1,31,4,3,10,13,6,2,6,20,9,0,4,29
miR-4427,4,1,4,17,0,1,20,7,7,0,5,37,6,1,9,73
miR-4428,41,81,78,146,34,33,78,88,18,49,133,60,62,46,347,244
miR-4429,350,567,824,690,167,230,647,596,454,326,530,304,350,312,473,619
miR-4430,36,73,48,205,32,48,164,106,31,46,106,84,43,36,3534,799
miR-4431,1,2,3,16,2,4,12,10,9,2,2,26,7,1,0,55
miR-4432,11,2,2,88,8,1,220,62,12,2,78,27,19,0,131,169
miR-4433b-5p,206,1024,236,1131,461,140,1123,1633,219,579,688,244,586,64,386,919
miR-4434,2,4,1,12,2,3,107,33,7,0,46,20,5,1,76,79
miR-4435,8,5,17,114,21,9,85,45,12,17,57,35,15,2,54,187
miR-4436a,27,28,87,338,29,31,101,106,31,24,95,81,38,19,140,237
miR-4436b-3p,76,94,143,285,45,46,154,167,28,47,134,111,81,28,483,382
miR-4437,3,6,5,86,7,4,9,13,9,3,7,36,9,4,4,60
miR-4438,19,9,3,37,40,5,61,53,20,22,48,44,36,1,35,132
miR-4439,2,4,4,84,2,0,26,22,8,3,11,27,4,0,15,116
miR-4440,11,15,12,103,30,13,9,57,32,13,10,45,34,6,10,88
miR-4441,10,2,5,44,7,5,54,59,8,10,36,27,19,2,105,108
miR-4442,116,189,450,534,74,147,273,322,92,133,452,208,141,146,1217,755
miR-4444,26,26,92,149,40,18,170,120,25,21,117,62,42,15,144,183
miR-4446-3p,36,43,63,146,38,31,59,98,27,22,49,74,42,15,58,261
miR-4446-5p,10,9,2,130,11,7,51,37,16,10,21,43,9,0,34,159
miR-4447,12,0,8,39,16,5,19,37,12,12,10,32,15,5,433,117
miR-4449,2149,1976,3263,8387,5196,1100,16694,19095,1967,3817,20088,3499,6510,695,8679,18428
miR-4450,4,5,6,34,1,5,4,10,2,3,1,21,5,5,5,32
miR-4451,4,5,7,44,4,2,106,25,5,1,57,9,6,1,76,53
miR-4452,7,5,1,21,2,7,3,8,15,11,1,18,9,2,1,26
miR-4453,5,2,5,31,4,2,8,12,10,2,2,23,6,0,3,62
miR-4455,13,11,43,50,2,17,22,51,11,1,0,137,19,0,10,68
miR-4456,9,2,4,29,7,1,14,11,4,3,4,16,2,1,7,51
miR-4457,2,3,2,41,3,2,20,9,4,3,4,36,0,1,7,83
miR-4458,3,6,3,48,3,7,17,16,12,6,12,33,8,1,24,72
miR-4459,2658,2698,2539,3571,2732,2765,5155,6000,1903,2679,6636,2272,3251,2378,9105,6253
miR-4460,1,2,2,21,1,1,3,2,7,0,0,20,5,0,0,53
miR-4461,1617,4624,622,437,478,3818,226,251,1088,2475,125,224,1408,2349,79,131
miR-4462,10,1,4,62,7,3,16,33,12,4,14,30,6,2,594,571
miR-4463,574,711,393,958,434,670,329,647,264,934,308,355,222,478,523,1090
miR-4464,0,1,1,16,0,0,3,7,4,2,0,30,5,0,1,44
miR-4465,1,1,4,60,2,5,22,24,6,2,7,39,2,3,8,97
miR-4467,0,0,7,67,8,2,5,16,5,7,4,19,7,1,2,66
miR-4468,6,12,40,70,2,9,86,40,9,8,27,41,19,4,43,93
miR-4470,6,3,15,72,5,5,80,37,8,8,51,41,4,1,4179,1276
miR-4471,2,3,3,16,3,0,3,2,5,1,4,25,1,0,1,38
miR-4472,2,0,3,27,9,4,11,21,2,6,5,32,9,1,24,84
miR-4473,16,3,2,27,41,1,33,86,34,35,55,16,37,0,37,133
miR-4474-3p,6,5,8,56,2,5,8,16,4,3,1,32,6,2,1,72
miR-4475,2,0,5,56,6,3,4,9,11,3,0,14,6,1,3,59
miR-4476,12,10,14,39,7,11,13,19,11,14,12,23,7,7,26,97
miR-4477a,6,3,3,17,5,1,3,3,9,2,2,25,10,0,1,41
miR-4477b,1,1,2,22,5,5,5,3,8,2,1,21,5,0,0,35
miR-4478,153,204,356,765,93,130,1024,880,89,139,1131,638,159,307,109323,45073
miR-448,3,0,0,37,2,1,9,8,4,0,1,25,4,0,2,59
miR-4480,5,3,3,28,1,1,10,9,4,2,2,27,2,0,0,38
miR-4481,34,27,33,106,21,35,38,82,22,24,23,63,24,26,303,363
miR-4482-3p,5,3,3,25,3,3,5,11,10,4,2,17,4,3,0,53
miR-4482-5p,1,4,3,58,2,1,93,35,3,6,49,22,4,0,51,137
miR-4483,0,0,7,23,1,0,9,9,7,1,11,15,4,2,2274,184
miR-4484,146,441,1043,1136,920,172,6586,4711,104,340,6129,251,1084,100,5073,5223
miR-4486,133,237,392,641,184,154,984,1104,108,196,708,240,225,101,794,1026
miR-4487,27,33,86,385,250,31,4015,1595,22,49,2944,78,265,15,2448,2434
miR-4489,7,4,8,61,6,2,7,15,11,5,5,23,9,0,3,66
miR-4490,5,1,1,24,3,3,11,13,8,3,1,25,3,0,2,48
miR-4491,3,4,14,41,3,4,51,28,13,6,18,39,10,0,30,146
miR-4493,9,3,4,51,3,5,9,11,6,7,0,43,4,2,4,53
miR-4494,9,3,9,92,11,8,210,53,7,3,128,25,9,1,154,204
miR-4495,4,1,5,47,5,3,8,10,7,0,0,33,3,0,2,64
miR-4496,65,110,268,310,73,75,123,138,52,59,123,89,80,37,58,181
miR-4498,19,38,44,187,25,20,144,153,30,27,132,59,44,15,103,235
miR-4499,32,41,58,185,21,46,507,174,30,26,238,71,25,25,547,317
miR-449a,8,4,1,25,4,5,7,7,5,9,3,17,7,5,1,40
miR-449b-3p,12,14,10,174,16,20,11,18,19,10,9,23,15,7,7,84
miR-449b-5p,8,3,2,22,7,2,7,9,9,1,2,18,2,0,1,42
miR-449c-3p,5,3,2,45,0,3,6,13,13,2,3,32,5,0,5,59
miR-449c-5p,2,2,1,32,6,1,6,17,3,5,2,47,7,1,2,102
miR-4500,0,1,1,19,0,3,9,15,3,0,3,10,2,0,3,39
miR-4501,2,3,4,42,2,0,13,14,9,0,3,27,3,1,5,64
miR-4502,34,35,21,67,38,23,11,34,24,40,17,32,23,12,8,72
miR-4503,1,0,0,9,3,1,1,5,3,0,0,9,3,0,1,22
miR-4504,0,0,3,12,1,0,4,5,6,4,1,16,4,0,0,27
miR-4505,115,285,552,922,71,131,375,641,89,126,213,294,130,136,536,480
miR-4506,11,2,4,48,8,3,34,29,8,3,10,32,9,6,166,183
miR-4507,93,95,167,246,68,78,76,162,59,69,77,136,91,70,2036,1192
miR-4509,1,1,3,7,0,0,4,4,4,1,2,11,1,0,0,24
miR-450a-1-3p,3,0,1,21,1,1,3,7,6,6,5,12,3,1,2,43
miR-450a-2-3p,4,3,5,35,6,3,6,10,11,1,0,25,5,1,2,45
miR-450a-5p,11,4,2,16,12,2,10,10,5,10,6,13,11,2,2,30
miR-450b-3p,2,4,6,15,3,4,6,5,5,0,1,12,4,0,0,38
miR-450b-5p,2,0,1,23,3,0,1,3,6,1,1,17,2,0,0,35
miR-4510,2,5,3,12,4,2,9,12,7,2,0,19,5,1,7,55
miR-4511,2,3,2,39,1,4,9,12,5,1,1,35,8,2,1,62
miR-4512,67,53,42,177,234,31,2235,959,56,41,1871,43,253,19,1391,1634
miR-4513,77,39,43,291,224,16,2308,1237,38,73,1891,3110,244,18,2117,2109
miR-4514,18,21,18,57,15,8,50,39,14,14,24,49,12,9,165,146
miR-4515,127,29,75,618,1810,44,6780,3870,89,301,6801,120,1666,22,4180,6062
miR-4517,3,4,2,56,7,1,30,26,9,2,14,41,5,0,22,110
miR-4518,2,3,2,55,0,5,11,12,10,4,2,41,2,1,11,129
miR-4519,649,129,80,598,9424,81,30921,26679,663,3433,27985,167,9162,14,21888,27093
miR-451a,17,272,13,37,16,30,15,15,26,14,8,47,13,3,1,64
miR-451b,1,3,2,16,2,2,4,1,4,3,2,13,1,0,1,30
miR-4520a-5p,3,5,0,38,2,1,5,10,10,3,3,24,2,1,3,45
miR-4521,11,9,47,135,23,7,61,65,17,14,29,50,20,12,28,151
miR-4522,2349,529,110,771,17351,318,27799,29264,1949,6725,26464,544,14087,16,17746,29591
miR-452-3p,4,0,2,33,2,3,11,2,4,1,1,22,5,0,1,50
miR-4524a-5p,5,4,6,44,16,1,37,34,6,8,17,29,14,0,12,101
miR-4524b-5p,7,6,5,77,16,2,98,49,11,9,53,42,16,0,54,158
miR-4525,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1
miR-452-5p,52,146,28,52,32,53,34,32,38,69,29,33,51,90,25,98
miR-4527,0,1,0,28,1,3,2,5,7,4,2,31,2,1,4,54
miR-4528,0,0,2,15,0,0,4,5,9,1,0,18,1,0,4,37
miR-4530,4539,18821,9409,9000,8128,3459,41246,23754,3256,7205,26944,3007,12749,1529,111495,36571
miR-4531,8,4,8,52,2,3,30,33,13,8,11,28,5,2,14,69
miR-4533,43,142,150,271,62,103,138,210,64,74,113,108,91,61,103,226
miR-4534,112,71,116,331,67,119,138,163,70,73,273,235,110,179,52679,8501
miR-4535,15,30,58,137,7,9,260,548,42,19,1132,466,31,111,52485,9405
miR-4536-5p,2,0,0,15,0,2,9,14,12,2,2,28,5,1,2,49
miR-4537,192,93,65,292,396,99,1989,1026,143,217,1617,238,362,80,1228,1816
miR-4538,27,40,97,198,22,20,58,72,15,27,56,56,50,19,39,164
miR-4539,81,108,165,232,62,77,62,142,70,59,72,114,97,63,23,173
miR-4540,2,1,1,16,2,1,8,10,3,1,2,32,4,1,1,49
miR-454-3p,19,9,9,35,13,11,10,13,31,14,9,22,16,13,2,51
miR-454-5p,8,1,2,27,3,1,4,4,12,5,3,29,6,2,4,55
miR-455-3p,198,156,101,102,104,83,100,113,377,407,231,95,182,158,39,75
miR-455-5p,91,128,61,49,53,65,58,34,124,215,95,49,85,66,15,71
miR-4632-3p,16,14,50,423,70,13,580,375,24,19,388,89,69,10,307,698
miR-4632-5p,720,182,206,649,440,207,211,600,378,245,281,1110,289,192,299,757
miR-4636,9,3,3,38,5,0,15,21,9,3,4,36,10,1,4,67
miR-4637,8,4,3,38,1,5,7,8,9,5,0,32,2,2,4,47
miR-4638-5p,7,2,10,259,11,7,30,79,8,12,23,40,9,3,37,279
miR-4639-3p,4,6,3,55,5,1,16,11,15,4,2,29,5,3,3,59
miR-4639-5p,2,0,0,23,0,2,4,15,8,4,3,17,3,1,5,56
miR-4640-3p,22,10,17,125,27,18,17,28,14,21,10,22,17,9,16,103
miR-4641,2,1,4,48,1,0,7,4,6,3,4,36,6,1,1,53
miR-4642,5,4,6,98,8,2,29,19,9,4,6,26,7,0,6,102
miR-4643,8,2,2,26,4,2,4,11,8,5,6,15,5,0,1,58
miR-4644,58,56,77,114,78,162,100,55,47,60,92,71,89,76,89,93
miR-4645-3p,3,1,3,41,2,1,14,12,5,2,1,28,7,0,0,74
miR-4646-3p,13,8,16,582,27,8,25,325,21,15,13,77,16,9,11,760
miR-4646-5p,72,73,113,432,56,56,190,241,50,62,241,119,80,50,614,378
miR-4647,11,38,560,276,5,13,93,164,15,14,86,126,7,4,54,113
miR-4648,7,5,0,39,5,5,11,30,11,3,10,24,1,2,155,199
miR-4649-3p,29,17,12,240,206,19,1199,594,21,59,1050,65,166,3,805,1197
miR-4649-5p,58,18,23,238,86,24,48,144,68,67,60,72,63,9,2263,769
miR-4650-3p,2,0,0,43,5,0,6,16,7,3,2,34,6,1,7,54
miR-4652-3p,15,5,8,133,24,10,17,41,17,27,17,39,21,7,14,131
miR-4652-5p,10,5,4,50,6,4,5,10,13,4,2,35,5,5,1,60
miR-4653-3p,10,9,15,35,25,6,18,25,10,11,6,19,33,2,3,62
miR-4653-5p,11,0,11,49,9,1,103,31,12,6,58,17,2,4,59,143
miR-4654,10,6,4,76,4,6,8,13,7,11,11,27,6,7,23,77
miR-4655-3p,121,45,35,685,643,33,3742,2325,97,191,3484,194,678,30,2815,3785
miR-4655-5p,154,246,474,764,135,125,464,565,138,188,599,322,204,108,2074,1348
miR-4656,166,230,378,904,182,171,911,1003,128,226,712,256,274,82,588,1249
miR-4657,4,3,8,89,2,6,11,23,11,3,5,32,7,0,12,110
miR-4658,1,2,4,43,3,2,8,12,4,2,2,17,4,1,7,71
miR-4659a-5p,3,1,10,20,6,2,1,7,7,1,3,19,2,0,2,34
miR-4659b-5p,1,1,0,16,1,0,10,9,5,1,2,17,5,0,4,42
miR-466,9,6,11,100,16,6,9,21,15,12,7,34,18,2,3,57
miR-4660,11,6,7,71,5,3,14,8,15,5,2,28,8,3,5,89
miR-4661-5p,13,2,4,32,4,0,7,16,12,2,3,30,10,3,4,55
miR-4662a-3p,8,2,1,11,3,1,3,7,4,5,0,27,5,0,3,56
miR-4663,4,3,3,103,10,4,12,26,9,6,14,54,7,3,7,113
miR-4664-3p,1462,281,72,691,15209,193,23388,26281,1292,5203,26753,334,12968,18,15819,26936
miR-4664-5p,6,7,3,67,1,2,32,21,4,4,17,21,6,3,25,102
miR-4665-5p,2622,778,220,886,13741,975,14983,23524,2224,6773,18081,1069,11478,274,12352,22177
miR-4666a-5p,0,0,7,32,4,1,10,15,13,0,13,41,4,0,8,49
miR-4666b,0,2,2,8,2,0,4,1,8,2,0,20,2,0,1,35
miR-4667-3p,14,13,15,253,27,9,129,73,15,15,90,45,11,4,56,220
miR-4667-5p,141,122,190,584,175,115,328,426,115,138,331,177,177,68,344,648
miR-4668-3p,11,4,6,129,5,2,3,18,11,8,2,25,10,2,3,90
miR-4668-5p,9,8,6,92,7,5,8,16,10,5,2,33,8,10,5,63
miR-4669,21,18,21,206,28,13,56,92,17,20,44,35,24,10,116,228
miR-4670-5p,9,3,13,33,7,1,10,5,10,1,1,33,8,5,2,58
miR-4671-3p,2,3,0,59,4,2,8,14,7,2,2,26,4,4,1,55
miR-4671-5p,3,1,3,79,0,0,8,13,7,1,4,32,7,0,1,70
miR-4672,11,31,24,338,20,2,101,254,10,11,34,66,25,3,30,611
miR-4673,179,67,52,223,809,51,3771,3167,104,306,3954,142,890,13,3183,3991
miR-4675,4,5,6,60,5,4,18,22,6,1,8,26,5,1,21,108
miR-4676-3p,279,139,121,221,235,147,183,269,209,244,167,317,184,108,116,278
miR-4677-3p,15,1,2,49,4,6,19,13,10,2,14,30,3,1,7,74
miR-4677-5p,11,5,8,121,36,2,1007,284,8,6,666,48,62,2,556,683
miR-4678,1,4,2,14,2,3,6,5,9,0,0,23,5,1,1,38
miR-4679,5,1,2,14,4,3,14,18,10,1,6,21,2,2,2,44
miR-4680-3p,2,1,1,16,2,1,1,5,7,3,2,27,2,0,2,50
miR-4680-5p,4,7,5,28,4,4,9,6,7,6,0,23,5,0,1,53
miR-4681,9,3,11,112,5,1,26,26,8,5,11,41,17,0,5,249
miR-4682,6,4,6,93,6,4,10,23,6,6,4,42,7,2,4,76
miR-4683,17,21,259,279,32,8,115,103,18,21,109,73,33,5,39,156
